시도명,시군구명,스포츠시설개수,총 인구수
강원특별자치도,원주시,676,363194
강원특별자치도,춘천시,553,285234
강원특별자치도,강릉시,407,206237
강원특별자치도,동해시,179,86333
강원특별자치도,속초시,177,79636
강원특별자치도,홍천군,106,66109
강원특별자치도,양양군,98,27292
강원특별자치도,삼척시,87,60518
강원특별자치도,평창군,85,39831
강원특별자치도,태백시,76,37088
강원특별자치도,철원군,68,39979
강원특별자치도,인제군,60,30863
강원특별자치도,정선군,52,34879
강원특별자치도,횡성군,52,45627
강원특별자치도,고성군,46,26845
강원특별자치도,영월군,44,36054
강원특별자치도,양구군,36,20410
강원특별자치도,화천군,32,22371
경기도,화성시,1734,989969
경기도,남양주시,1175,729754
경기도,성남시 분당구,1070,469833
경기도,평택시,1016,610402
경기도,시흥시,960,515032
경기도,김포시,855,484792
경기도,고양시 덕양구,842,485546
경기도,용인시 기흥구,770,435048
경기도,부천시 원미구,766,384561
경기도,파주시,758,526005
경기도,의정부시,749,461572
경기도,수원시 영통구,683,362493
경기도,하남시,652,327939
경기도,광주시,651,397346
경기도,용인시 수지구,629,374094
경기도,안양시 동안구,624,329530
경기도,안산시 단원구,615,289769
경기도,고양시 일산동구,612,296758
경기도,수원시 권선구,550,361064
경기도,용인시 처인구,491,282044
경기도,고양시 일산서구,473,277777
경기도,안산시 상록구,455,322739
경기도,양주시,449,296224
경기도,광명시,427,293947
경기도,군포시,416,251367
경기도,성남시 수정구,413,232389
경기도,수원시 장안구,410,271136
경기도,오산시,401,249410
경기도,이천시,399,222967
경기도,수원시 팔달구,376,191822
경기도,구리시,352,186090
경기도,안성시,326,196592
경기도,성남시 중원구,297,203572
경기도,부천시 소사구,296,225458
경기도,안양시 만안구,285,233749
경기도,포천시,255,140452
경기도,의왕시,219,160370
경기도,부천시 오정구,188,148777
경기도,양평군,184,126933
경기도,여주시,171,114002
경기도,동두천시,131,86438
경기도,과천시,115,79908
경기도,가평군,97,62125
경기도,연천군,49,42340
경상남도,김해시,834,533035
경상남도,진주시,518,335939
경상남도,양산시,512,361155
경상남도,창원시 성산구,417,246904
경상남도,거제시,305,231178
경상남도,창원시 의창구,302,207141
경상남도,창원시 진해구,257,184778
경상남도,창원시 마산회원구,225,176275
경상남도,창원시 마산합포구,219,175800
경상남도,통영시,173,116667
경상남도,사천시,127,107935
경상남도,밀양시,105,99252
경상남도,거창군,74,58980
경상남도,함안군,54,57558
경상남도,창녕군,47,54900
경상남도,고성군,41,47099
경상남도,남해군,35,40770
경상남도,하동군,34,39974
경상남도,산청군,33,32745
경상남도,함양군,33,35472
경상남도,합천군,29,39190
경상남도,의령군,18,24636
경상북도,구미시,648,403883
경상북도,경산시,416,263853
경상북도,포항시 북구,412,273501
경상북도,포항시 남구,354,215206
경상북도,경주시,319,244055
경상북도,안동시,226,152610
경상북도,김천시,181,133791
경상북도,칠곡군,172,104842
경상북도,영주시,122,97162
경상북도,영천시,102,95185
경상북도,상주시,91,89888
경상북도,울진군,76,45896
경상북도,문경시,68,65348
경상북도,예천군,57,53887
경상북도,의성군,34,47902
경상북도,영덕군,32,32698
경상북도,성주군,29,40720
경상북도,청도군,28,40117
경상북도,봉화군,19,28315
경상북도,청송군,19,23363
경상북도,고령군,16,29667
경상북도,영양군,13,15941
경상북도,울릉군,8,8696
광주광역시,광산구,636,387604
광주광역시,북구,628,416862
광주광역시,서구,492,275063
광주광역시,남구,318,207596
광주광역시,동구,159,104888
대구광역시,수성구,756,409222
대구광역시,달서구,751,517059
대구광역시,북구,580,409854
대구광역시,동구,420,339281
대구광역시,달성군,336,254659
대구광역시,중구,183,101007
대구광역시,서구,140,163956
대구광역시,남구,124,135542
대구광역시,군위군,17,22452
대전광역시,서구,901,463351
대전광역시,유성구,673,367534
대전광역시,중구,320,225645
대전광역시,동구,278,218664
대전광역시,대덕구,205,165535
부산광역시,해운대구,565,372604
부산광역시,부산진구,513,365378
부산광역시,동래구,390,273277
부산광역시,사하구,318,286222
부산광역시,강서구,316,150299
부산광역시,금정구,308,206588
부산광역시,남구,289,250668
부산광역시,북구,286,262862
부산광역시,연제구,283,211727
부산광역시,수영구,272,169112
부산광역시,기장군,269,174898
부산광역시,사상구,248,194124
부산광역시,동구,105,83851
부산광역시,서구,91,101892
부산광역시,영도구,88,101580
부산광역시,중구,83,36518
서울특별시,강남구,1870,556330
서울특별시,송파구,1340,643350
서울특별시,서초구,1184,414428
서울특별시,강서구,954,549711
서울특별시,마포구,781,357616
서울특별시,영등포구,772,371362
서울특별시,강동구,743,499127
서울특별시,양천구,686,425088
서울특별시,노원구,673,483541
서울특별시,관악구,647,477605
서울특별시,광진구,575,331167
서울특별시,성북구,546,422559
서울특별시,은평구,540,455137
서울특별시,구로구,512,383829
서울특별시,동대문구,493,346241
서울특별시,성동구,466,274606
서울특별시,동작구,457,371924
서울특별시,중랑구,437,376916
서울특별시,서대문구,431,300147
서울특별시,도봉구,399,299899
서울특별시,용산구,384,201894
서울특별시,강북구,375,278928
서울특별시,종로구,363,137048
서울특별시,금천구,341,223290
서울특별시,중구,334,117805
세종특별자치시,세종특별자치시,597,391965
울산광역시,남구,590,304128
울산광역시,북구,342,215220
울산광역시,울주군,296,219174
울산광역시,중구,267,204169
울산광역시,동구,213,149257
인천광역시,서구,1010,654358
인천광역시,남동구,802,480147
인천광역시,연수구,699,409437
인천광역시,부평구,666,490442
인천광역시,미추홀구,518,417578
인천광역시,계양구,442,277721
인천광역시,중구,265,176467
인천광역시,강화군,66,69698
인천광역시,동구,49,56477
인천광역시,옹진군,15,19636
전라남도,순천시,428,275492
전라남도,여수시,363,263284
전라남도,목포시,279,202003
전라남도,광양시,259,155259
전라남도,나주시,179,117076
전라남도,무안군,123,95592
전라남도,영광군,59,53526
전라남도,완도군,58,44613
전라남도,화순군,58,60215
전라남도,해남군,51,62188
전라남도,고흥군,48,59455
전라남도,영암군,47,50069
전라남도,장흥군,47,34201
전라남도,강진군,37,31799
전라남도,보성군,36,36858
전라남도,구례군,32,23803
전라남도,담양군,32,44177
전라남도,진도군,27,27964
전라남도,장성군,26,42958
전라남도,곡성군,22,27287
전라남도,함평군,20,29458
전라남도,신안군,13,41858
전북특별자치도,전주시 덕진구,576,309018
전북특별자치도,전주시 완산구,539,316419
전북특별자치도,익산시,360,267066
전북특별자치도,군산시,359,256291
전북특별자치도,완주군,127,100444
전북특별자치도,정읍시,113,101123
전북특별자치도,김제시,83,81676
전북특별자치도,남원시,83,74272
전북특별자치도,고창군,61,50396
전북특별자치도,부안군,50,47220
전북특별자치도,무주군,31,22787
전북특별자치도,임실군,17,25259
전북특별자치도,순창군,15,27714
전북특별자치도,장수군,14,20922
전북특별자치도,진안군,8,24249
제주특별자치도,제주시,1136,485182
제주특별자치도,서귀포시,430,179610
충청남도,천안시 서북구,750,401852
충청남도,아산시,490,359378
충청남도,천안시 동남구,445,262470
충청남도,당진시,271,172564
충청남도,서산시,214,172438
충청남도,홍성군,156,100557
충청남도,논산시,154,106777
충청남도,보령시,139,92117
충청남도,공주시,127,99979
충청남도,예산군,92,78815
충청남도,계룡시,74,45846
충청남도,태안군,67,59474
충청남도,부여군,63,58377
충청남도,서천군,59,47225
충청남도,금산군,37,48898
충청남도,청양군,23,29986
충청북도,청주시 흥덕구,560,292051
충청북도,청주시 청원구,373,186861
충청북도,충주시,362,206540
충청북도,청주시 서원구,341,182689
충청북도,청주시 상당구,284,194551
충청북도,제천시,238,128003
충청북도,음성군,170,94280
충청북도,진천군,145,86580
충청북도,옥천군,55,49601
충청북도,증평군,54,36680
충청북도,영동군,49,43032
충청북도,단양군,42,26812
충청북도,보은군,30,30529
충청북도,괴산군,17,38293
